3 4493 79 2752 0 2 17 30 33 7156 6 72 8 575 46 27 13558 238 14 47 5 342 26667 1152 13463 911 181 14477 3782 124 308 109 7 30 167 1 20 294 56 3 0 6 64 47 48 8 20 3 81 16 2 2216 55 4 43 5 294 2670 2289 614 19 224 3444 1497 37 392 49 1 50 51
659 14 24011 576 9 10 845 2287 8499 66 573 1092 25 13 3681 2 19882 13889 341 1763 16 47791 1152 173249 2009 12 4188 22210 7591 1198 12517 25 30 172 15894 14 57 1189 35 2 0 22 244 188 79 18 20 2 4 94 4 13459 210 23 103 3 2298 1134 16037 1035 12 209 4875 2367 99 1661 8 3 74 200
28 1365 71 3125 5182 102 1006 3271 1133 14945 1176 332 2345 230 871 2878 5063 276 37 69 1675 1000 13463 2009 75442 331 232 5785 23952 2826 2211 62 151 1307 1630 38 28 85 363 855 3 539 926 980 632 1293 102 356 51 374 31 602 95 25 39 847 205 596 607 8911 26 166 908 6087 468 1202 24 31 128 382
0 2271 4 254 0 2 27 11 13 768 11 707 21 13054 16 7 3 4 181 49 13 2 911 12 331 9644 752 12835 17 27 6 1756 19 0 130 1 23 0 569 0 0 3 2 0 5 3 312 1 1374 3 0 2 5 62 48 2 3 10 1 25 456 356 1756 9 5 3 597 5 0 23
179 228 18192 776 6 19 864 674 6382 94 333 5852 286 282 1416 4 60 9129 6428 13783 124 367 181 4188 232 752 108913 29872 300 1080 550 2284 98 22 3365 13 231 387 670 3 0 15 51 101 51 10 359 4 1547 61 1 168 575 532 1634 3 51 134 143 193 731 6272 19202 254 20 124 1330 7 7 201
78 15873 30283 19914 8 12 394 1459 1528 4187 280 2195 142 7739 549 49 8241 20189 1725 4966 93 994 14477 22210 5785 12835 29872 204466 5174 515 550 4312 44 47 8547 53 812 4543 2935 20 0 79 478 552 85 73 437 8 1782 331 3 5216 1403 769 2561 29 308 1698 9787 1004 1773 10538 61017 1311 67 354 2082 4 21 485
100 74 534 1999 8851 28 2154 42367 2897 856 11496 341 504 32 2287 432 5776 545 34 103 3667 10120 3782 7591 23952 17 300 5174 127316 5600 7576 18 86 1633 3485 23 28 202 167 798 6 587 1200 947 517 1514 84 454 8 434 39 1059 222 28 64 867 461 951 1132 8082 18 163 1113 8198 670 3168 12 27 256 445
11924 11 489 587 641 45 3073 6830 3138 776 6504 1432 2560 144 20264 68 12 2689 167 834 1672 1319 124 1198 2826 27 1080 515 5600 107391 12983 51 2347 7770 3528 9 5 28 61 51 0 115 264 227 140 117 30 46 5 123 1 58 28 0 15 69 45 116 125 1618 5 26 173 1476 142 408 10 9 57 113
11822 13 709 1300 7 29 384 7251 6452 859 188 279 36 15 8396 14 79 4314 125 957 39 39241 308 12517 2211 6 550 550 7576 12983 57433 8 49 848 9903 15 8 97 39 4 0 28 212 118 165 20 15 8 3 106 6 963 121 3 24 13 538 728 578 1605 1 58 306 3978 240 2061 1 2 128 213
1 159 32 214 3 1 65 10 20 145 37 1277 50 3650 15 2 3 20 461 86 16 7 109 25 62 1756 2284 4312 18 51 8 2560 25 0 270 0 44 1 122 0 0 5 5 3 8 2 454 0 2152 2 0 1 9 192 75 3 1 17 2 34 338 590 2934 10 4 2 1474 2 0 22
